Task,Model,Run Name,Patience,Sampler,Accuracy,Accuracy Lower Bound,Neg Log Error,Rounds,Prompt Word Count,Reasoning Word Count,Cumulative Reasoning Words,Herdan Coefficient,Herdan R-squared,Zipf Coefficient,Zipf R-squared,Model Size,Data Points,logistic regression,decision trees,dummy
wisconsin,llama3.3:latest,llama.,3,3,0.5454545454545454,0.5028763240485917,0.303535552712552,2,51,87,87,0.5781246562990724,0.9653098549559566,0.8784922663655623,0.8997664800548867,70,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.1,openai4110.,3,10,0.8636363636363636,0.8318918574455076,0.7744112503865777,4,71,182,449,0.5982686144209688,0.9807362414793049,0.995588010043674,0.9363944870510181,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-flash,gemini.,3,3,0.6363636363636364,0.5951694703619115,0.3927267433189581,7,55,61,321,0.5534838426738726,0.973657814901042,1.0830950573680056,0.9493399474070234,40,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemma3:27b,gemma.,3,3,0.42424242424242425,0.382559926266861,0.2094051869103219,1,2,0,0,0.5414771475878105,0.9531371686227494,0.9856973883514561,0.9412079336287793,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o,openai.,3,3,0.8245614035087719,0.7904412307082949,0.6786941607651812,6,169,107,431,0.6741939624565984,0.984181605658689,0.842354986562875,0.9456981936622089,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,falcon3:10b,falcon10.,3,10,0.5757575757575758,0.5346619700439106,0.33223145310790736,1,2,0,0,0.408880697098245,0.8451903329069325,0.6343876328206179,0.8396750382460743,10,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,cogito:70b,cogito.,3,3,0.7272727272727273,0.6890136327693963,0.5072586488068989,8,72,109,725,0.5992095735934557,0.9692889143747616,0.9003671118848056,0.8915106339849863,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-pro-exp,geminipro.,3,3,0.5454545454545454,0.5028763240485917,0.303535552712552,2,77,118,118,0.5475927531926719,0.9615641048111678,1.0451478644340435,0.9346092015511498,1500,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,qwq:32b,qwq.,3,3,0.4696969696969697,0.4276121834826765,0.2423096189297475,1,2,0,0,-9.550732298357357e-17,-inf,0.0831512180646357,1.0,32,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-5-haiku-20241022,anthropic.,3,3,0.8333333333333334,0.799807597665822,0.6985524088095194,2,119,138,138,0.6193447609546417,0.9735004565781651,0.8574429652974567,0.8964288578782315,20,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.5-pro-exp-03-25,gemini2510.,3,10,0.803030303030303,0.7680749884077154,0.6346524130231914,4,101,304,725,0.6357714709957107,0.9751276620890883,0.9395199169203774,0.9510168355041515,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemma3:27b,gemma3.,3,3,0.42424242424242425,0.382559926266861,0.2094051869103219,1,2,0,0,0.5414771475878105,0.9531371686227494,0.9856973883514561,0.9412079336287793,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.5-preview,openai45.,3,3,0.7,0.6599553809010257,0.46846409308397596,4,63,46,157,0.557561433930384,0.952746438574661,0.8828794294834532,0.8935145531116673,1800,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,llama3.3:latest,llamaphi.,3,3,0.40350877192982454,0.37467907361699876,0.20389703739866408,1,2,0,0,0.5761470099546236,0.9529346168212355,0.8115991426052556,0.8680512903537961,70,1138,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o1,openai10o1.,3,10,0.6909090909090909,0.6509096561207219,0.4570621639556429,5,121,46,176,0.57250211346259,0.963015783521153,0.918755545542717,0.8955310322956785,300,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o1,openaio1.,3,3,0.6666666666666666,0.6256653563824388,0.42673997829378624,2,54,20,20,0.5038994522885397,0.9415404764335632,0.9986224285398139,0.9085803489956341,300,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.1,openai41.,3,3,0.696969696969697,0.6581449418358245,0.46615798979776435,2,67,92,92,0.621614035522379,0.9696205660245095,0.9016115676631584,0.9283245346499719,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,falcon3:10b,falcon.,3,3,0.48484848484848486,0.44328770284389024,0.2543691855045267,1,2,0,0,0.21458655694808124,0.6433041938804301,0.46322065374867216,0.9147203538764446,10,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-5-haiku-20241022,anthropic10.,3,10,0.4696969696969697,0.4276121834826765,0.2423096189297475,1,2,0,0,0.584310403132435,0.9541804029645735,0.8239270665415367,0.8768297127895355,20,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o3,openaio3.,3,3,0.8333333333333334,0.799807597665822,0.6985524088095194,2,104,98,98,0.6501816511665132,0.9748655111534497,0.8576989837696012,0.9398248812201604,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,phi4:latest,phi.,3,3,0.5151515151515151,0.4730088397769126,0.2781966696044032,1,2,0,0,-9.550732298357357e-17,-inf,0.0831512180646357,1.0,14,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
